game_id_str,game_id_int
1300312303,0
13247,1
1300489466,2
1300261706,3
1300398913,4
1300501987,5
1300455700,6
1300466239,7
1300155213,8
1300468536,9
28074,10
1300489185,11
1300486960,12
1300538293,13
44641,14
1300129599,15
11385,16
1300441665,17
1300452543,18
1300052679,19
1300498909,20
1300457783,21
1300286970,22
1300491499,23
1300516543,24
1300404099,25
1300306978,26
1300457726,27
1300479491,28
1300487061,29
1300122988,30
1300458756,31
2115,32
1300528132,33
2074,34
1300458868,35
2213,36
388943,37
1300481801,38
343595,39
1300476445,40
1300456845,41
1300466748,42
3494,43
1300516246,44
1300537062,45
1300463948,46
392128,47
1300461802,48
1300486429,49
1300477742,50
1300517789,51
1300468136,52
1300481946,53
13405,54
1300510317,55
1300473511,56
1300571147,57
1300470401,58
1300176701,59
2592,60
1300464370,61
1300453346,62
1300459529,63
1300505749,64
1300470280,65
1300520749,66
1300465399,67
1300494294,68
1300465661,69
1300440558,70
1300539635,71
1300490398,72
1300287020,73
1300532502,74
1300439036,75
1300491007,76
1300517418,77
1300455618,78
15730,79
1300486916,80
1300542522,81
1300451136,82
359373,83
1300455011,84
1300501971,85
224848,86
1077,87
1300477851,88
1300504975,89
1300398912,90
1300506780,91
1300538304,92
1300520909,93
1300513510,94
1300414531,95
1300308000,96
14085,97
1300498932,98
1300569324,99
1300507541,100
29236,101
1300465367,102
14772,103
257202,104
1300501136,105
1300471372,106
1300501873,107
45614,108
1300185238,109
1300516492,110
1300514323,111
1300528388,112
1300457832,113
1300486351,114
1300516965,115
1300302181,116
1300592367,117
29223,118
1300505201,119
418471,120
23498,121
1300247828,122
1300566020,123
1300494369,124
45868,125
8923,126
1300466540,127
1300468644,128
1300464466,129
375279,130
1300483124,131
1300481219,132
1300463724,133
1300485694,134
1300525376,135
450238,136
1300590290,137
1300495967,138
1300607654,139
1300538772,140
1300414537,141
1300297277,142
1300458698,143
1300450791,144
1300462969,145
1607,146
1300500271,147
1300520775,148
1300520473,149
1300497701,150
1300460236,151
1300489595,152
1300455543,153
1300339342,154
1300506418,155
1300452177,156
1300538315,157
2258,158
1300483718,159
306139,160
1300489220,161
1300647130,162
12772,163
1300501569,164
1300516276,165
1300462784,166
1300578085,167
1300483583,168
1300398916,169
1300480538,170
1300489321,171
49240,172
1300513214,173
1300490000,174
1300503970,175
